Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[164], Train loss: 2.354, Val loss: 5.597, Train mAP: 71.070 %, Val mAP: 51.152 %
[165], Train loss: 2.413, Val loss: 6.689, Train mAP: 70.548 %, Val mAP: 53.442 %
[166], Train loss: 2.380, Val loss: 5.069, Train mAP: 72.469 %, Val mAP: 50.377 %
[167], Train loss: 2.394, Val loss: 4.668, Train mAP: 72.292 %, Val mAP: 55.164 %
[168], Train loss: 2.305, Val loss: 7.518, Train mAP: 75.144 %, Val mAP: 48.407 %
[169], Train loss: 2.344, Val loss: 4.944, Train mAP: 74.783 %, Val mAP: 53.243 %
[170], Train loss: 2.298, Val loss: 6.096, Train mAP: 75.013 %, Val mAP: 49.995 %
[171], Train loss: 2.344, Val loss: 9.196, Train mAP: 72.770 %, Val mAP: 54.705 %
[172], Train loss: 2.294, Val loss: 5.370, Train mAP: 70.351 %, Val mAP: 51.742 %
[173], Train loss: 2.320, Val loss: 8.234, Train mAP: 73.381 %, Val mAP: 53.345 %
[174], Train loss: 2.323, Val loss: 4.721, Train mAP: 72.294 %, Val mAP: 54.070 %
[175], Train loss: 2.305, Val loss: 10.093, Train mAP: 76.604 %, Val mAP: 42.875 %
[176], Train loss: 2.287, Val loss: 4.829, Train mAP: 74.601 %, Val mAP: 51.642 %
[177], Train loss: 2.267, Val loss: 5.094, Train mAP: 72.669 %, Val mAP: 52.078 %
[178], Train loss: 2.239, Val loss: 4.921, Train mAP: 74.913 %, Val mAP: 55.008 %
[179], Train loss: 2.228, Val loss: 4.924, Train mAP: 77.347 %, Val mAP: 50.346 %
[180], Train loss: 2.250, Val loss: 4.655, Train mAP: 73.864 %, Val mAP: 54.228 %
[181], Train loss: 2.203, Val loss: 6.299, Train mAP: 73.753 %, Val mAP: 49.720 %
[182], Train loss: 2.225, Val loss: 5.001, Train mAP: 74.694 %, Val mAP: 54.971 %
[183], Train loss: 2.248, Val loss: 4.767, Train mAP: 76.806 %, Val mAP: 55.942 %
[184], Train loss: 2.169, Val loss: 4.947, Train mAP: 74.205 %, Val mAP: 50.813 %
